"Warna","TDS","Kekeruhan","Suhu","E. Coli","Total Koliform","Fluorida","Total Kromium","Nitrit","Nitrat","Sianida","Aluminium","Besi","Kesadahan","Khlorida","Mangan","pH","Seng","Sulfat","Tembaga","Amonia","Zat Organik","Karbondioksida Bebas","Alkalinitas Total","Label"
"1","80.6","0.62","23","0","0","0.05","0.01","0.003","0.09","0.005","0.048","0.03","87.1","12.0","0.013","6.99","0.01","5","0.03","0.03","2.1","8.1","98","Layak Diminum"
"1","84.6","0.64","24","0","0","0.05","0.02","0.005","0.07","0.005","0.035","0.02","89.1","12.2","0.012","7.03","0.01","5","0.02","0.02","1.8","7.7","100","Layak Diminum"
"1","86.4","0.60","24","0","0","0.07","0.02","0.005","0.08","0.002","0.031","0.02","87.1","13.2","0.012","7.01","0.02","7","0.02","0.02","2.4","7.6","98","Layak Diminum"
"1","88.6","0.64","24","0","0","0.06","0.02","0.004","0.13","0.000","0.034","0.03","63.4","5.1","0.014","6.92","0.01","4","0.01","0.01","1.5","17.6","66","Layak Diminum"
"1","65.0","0.78","22","0","0","0.02","0.01","0.013","0.10","0.001","0.038","0.05","44.6","7.8","0.009","6.91","0.02","14","0.02","0.01","2.7","7","23","Layak Diminum"
"1","60.0","0.46","21","0","0","0.02","0.01","0.016","0.10","0.001","0.027","0.07","41.6","7.4","0.003","6.76","0.01","13","0.01","0.01","3.0","7","24","Layak Diminum"
"1","66.4","0.56","21","0","0","0.02","0.02","0.014","0.13","0.001","0.014","0.07","49.5","7.1","0.005","6.88","0.01","16","0.01","0.02","3.0","5.3","26.5","Layak Diminum"
"1","62.6","0.50","21","0","0","0.02","0.02","0.011","0.13","0.000","0.038","0.07","47.5","7.1","0.007","6.76","0.03","18","0.02","0.02","2.4","6.2","23.5","Layak Diminum"
"1","60.2","0.55","21","0","0","0.02","0.02","0.007","0.16","0.000","0.033","0.06","47.5","7.5","0.007","6.87","0.01","38","0.01","0.01","1.8","5.3","28","Layak Diminum"
"1","58.6","0.44","20","0","0","0.02","0.01","0.009","0.19","0.003","0.031","0.03","49.5","7.3","0.006","6.78","0.01","26","0.03","0.02","2.4","5.3","23","Layak Diminum"
"1","140.0","0.87","24","0","0","0.03","0.01","0.008","0.18","0.030","0.036","0.04","42.6","7.5","0.004","6.87","0.02","25","0.01","0.02","2.1","4.4","28","Layak Diminum"
"1","144.0","0.85","24","0","0","0.08","0.02","0.008","0.09","0.003","0.043","0.05","44.6","7.1","0.007","6.70","0.02","21","0.02","0.01","3.3","4.4","30","Layak Diminum"
"1","152.0","0.83","24","0","0","0.05","0.02","0.006","0.07","0.000","0.031","0.06","45.5","10.6","0.008","7.63","0.01","20","0.03","0.01","4.5","4.4","15.5","Layak Diminum"
"2","374.0","0.92","23","0","0","0.08","0.01","0.007","0.06","0.001","0.027","0.07","41.6","10.7","0.008","7.67","0.02","20","0.01","0.01","5.0","7","18.5","Layak Diminum"
"2","372.0","0.91","23","0","0","0.07","0.02","0.009","0.09","0.001","0.028","0.08","41.6","11.3","0.013","7.56","0.02","24","0.01","0.02","4.8","7.5","17.5","Layak Diminum"
"2","370.0","0.93","23","0","0","0.05","0.02","0.008","0.09","0.000","0.025","0.09","45.5","10.8","0.013","7.53","0.02","12","0.02","0.10","4.8","7","20","Layak Diminum"
"3","375.0","0.88","23","0","0","0.04","0.02","0.015","0.05","0.002","0.014","0.05","49.5","10.5","0.009","7.43","0.03","18","0.02","0.02","5.3","5.3","20.5","Layak Diminum"
"2","377.0","0.84","23","0","0","0.04","0.01","0.018","0.07","0.000","0.019","0.08","51.5","11.3","0.007","7.40","0.04","28","0.01","0.02","5.0","5.7","20","Layak Diminum"
"2","377.0","0.78","23","0","0","0.11","0.01","0.017","0.07","0.000","0.046","0.07","45.5","11.4","0.009","7.51","0.03","27","0.03","0.03","4.5","5.7","19.5","Layak Diminum"
"3","82.1","0.81","24","0","0","0.13","0.01","0.018","0.09","0.000","0.031","0.05","45.5","14.0","0.011","7.44","0.04","23","0.40","0.05","4.8","6.2","19","Layak Diminum"
"2","83.0","0.85","24","0","0","0.09","0.02","0.011","0.15","0.003","0.037","0.04","43.6","11.3","0.017","7.40","0.03","23","0.05","0.03","4.8","6.6","17.5","Layak Diminum"
